,DISTTYPE,IMG,APP,ID,JOB_ID,TASKS_PER_NODE,START_OF_FILE,START_OF_APPLICATION,MAX_STARTUP,MAX_IMPORT,MAX_VISIT,MAX_MPI,MAX_TOTAL,END_OF_APPLICATION,END_OF_FILE,LUSTREBLOCK,SQUASHBLOCK,STRIPE_PATTERN,CLUSTER_NAME,CPUS_PER_NODE,NODECOUNT
0,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541790988.622279282,11613,32,1541790988.653485009,1541790988.971007203,2.66137194633,1.73990416527,29.5250620842,7.04926013947,40.27073597903,1541791029.788116666,1541791030.094143865,64k,1m,two,moon,32,1
1,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541838226.080379558,11834,32,1541838226.110920969,1541838227.573856705,6.16247558594,2.68560791016,29.3473119736,6.99777817726,43.92324471475,1541838272.348526449,1541838273.323419273,64k,128k,all,moon,32,1
2,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1541835282.512301218,11820,32(x512),1541835282.542712173,1541835299.878368729,28.1667826176,17.1622440815,30.4368319511,7.24046182632,64.07458949096,1541835368.275315496,1541835377.986565251,64k,128k,all,moon,32,512
3,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1541833479.566350218,11808,32(x1024),1541833479.596810796,1541833487.774623739,2.93887972832,2.44576215744,30.1323421001,7.38207197189,40.47573494908,1541833535.692522006,1541833543.803720072,64k,128k,two,moon,32,1024
4,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1542170702.765558382,12130,32(x512),1542170702.796280760,1542170724.396599782,6.70099544525,3.10585689545,29.9587509632,7.39433002472,44.49767160413,1542170772.308095553,1542170785.948609528,64k,128k,two,moon,32,512
5,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541752529.544798205,11439,32(x128),1541752529.575825741,1541752530.642798802,2.76999306679,1.93458604813,30.2071530819,7.55077505112,40.991447448769996,1541752573.005767373,1541752574.069341988,1m,1m,one,moon,32,128
6,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/all/pynamic.sqfs,PYNAMIC,1542169033.147244454,12118,32(x1024),1542169033.178436847,1542169041.306869935,2.94222736359,2.18733000755,30.0350000858,7.35230302811,41.18103051187,1542169089.191525995,1542169097.486680169,64k,1m,all,moon,32,1024
7,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541747721.394474582,11411,32,1541747721.424189021,1541747722.869531374,12.1705024242,3.80685901642,31.5070419312,7.00408816338,51.25730967522,1541747774.903625065,1541747775.885980040,1m,1m,one,moon,32,1
8,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541740179.625610064,11377,32(x128),1541740179.656439275,1541740180.732310856,2.75836873055,2.20987987518,29.8911309242,7.17425298691,41.25626158711,1541740222.961025633,1541740224.021037372,1m,128k,one,moon,32,128
9,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541737416.217708657,11363,32(x512),1541737416.247954505,1541737437.782497262,35.8797619343,4.10793209076,31.4098510742,7.29663586617,74.45887994775,1541737515.136657001,1541737528.879526613,1m,128k,one,moon,32,512
